NAICS Codes,NAICS Industry Description,"Size standards 
in millions of dollars",Size standards in number of employees,Footnotes
337127,Institutional Furniture Manufacturing,,500 ,
337211,Wood Office Furniture Manufacturing,,"1,000 ",
337212,Custom Architectural Woodwork and Millwork Manufacturing,,500 ,
337214,Office Furniture (Except Wood) Manufacturing,,"1,100 ",
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",,500 ,
337910,Mattress Manufacturing,,"1,000 ",
337920,Blind and Shade Manufacturing,,"1,000 ",
Subsector 339 – Miscellaneous Manufacturing,,,,
339112,Surgical and Medical Instrument Manufacturing,,"1,000 ",
339113,Surgical Appliance and Supplies Manufacturing,,800 ,
339114,Dental Equipment and Supplies Manufacturing,,750 ,
339115,Ophthalmic Goods Manufacturing,,"1,000 ",
339116,Dental Laboratories,,500 ,
339910,Jewelry and Silverware Manufacturing,,700 ,
339920,Sporting and Athletic Goods Manufacturing,,750 ,
339930,"Doll, Toy, and Game Manufacturing",,700 ,
339940,Office Supplies (except Paper) Manufacturing,,750 ,
339950,Sign Manufacturing,,500 ,
339991,"Gasket, Packing, and Sealing Device Manufacturing  ",,600 ,
339992,Musical Instrument Manufacturing,,"1,000 ",
339993,"Fastener, Button, Needle and Pin Manufacturing",,750 ,
339994,"Broom, Brush and Mop Manufacturing",,750 ,
339995,Burial Casket Manufacturing,,"1,000 ",
339999,All Other Miscellaneous Manufacturing,,550 ,
,Sector 42 – Wholesale Trade,,,
,(These NAICS codes shall not be used to classify Government acquisitions for supplies.  They also shall not be used by Federal government contractors when subcontracting for the acquisition for supplies.  The applicable manufacturing NAICS code shall be used to classify acquisitions for supplies.  A Wholesale Trade or Retail Trade business concern submitting an offer or a quote on a supply acquisition is categorized as a nonmanufacturer and deemed small if it has 500 or fewer employees and meets the requirements of 13 CFR 121.406.),,,
"Subsector 423 –  Merchant Wholesalers, Durable Goods",,,,
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,,250,
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,,200,
423130,Tire and Tube Merchant Wholesalers,,200,
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,,125,
423210,Furniture Merchant Wholesalers,,100,
423220,Home Furnishing Merchant Wholesalers,,100,
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,150,
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",,150,
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",,225,
423390,Other Construction Material Merchant Wholesalers,,100,
423410,Photographic Equipment and Supplies Merchant Wholesalers,,200,
423420,Office Equipment Merchant Wholesalers,,200,
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,250,
423440,Other Commercial Equipment Merchant Wholesalers,,100,
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,200,
423460,Ophthalmic Goods Merchant Wholesalers,,175,
423490,Other Professional Equipment and Supplies Merchant Wholesalers,,150,
423510,Metal Service Centers and Other Metal Merchant Wholesalers,,200,
423520,Coal and Other Mineral and Ore Merchant Wholesalers,,200,
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,200,
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",,225,
423690,Other Electronic Parts and Equipment Merchant Wholesalers,,250,
423710,Hardware Merchant Wholesalers,,150,
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,,200,
423730,Warm Air Heating and Air‑Conditioning Equipment and Supplies Merchant Wholesalers,,175,
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,,125,
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,,250,
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,,125,
423830,Industrial Machinery and Equipment Merchant Wholesalers,,100,
423840,Industrial Supplies Merchant Wholesalers,,125,
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,,125,
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,,175,
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,100,
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,,175,
423930,Recyclable Material Merchant Wholesalers,,125,
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",,125,
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,,100,
"Subsector 424 – Merchant Wholesalers, Nondurable Goods",,,,
424110,Printing and Writing Paper Merchant Wholesalers,,225,
424120,Stationary and Office Supplies Merchant Wholesalers,,150,
424130,Industrial and Personal Service Paper Merchant Wholesalers,,150,
424210,Drugs and Druggists’ Sundries Merchant Wholesalers,,250,
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",,100,
424340,Footwear Merchant Wholesalers,,200,
424350,Clothing and Clothing Accessories Merchant Wholesalers,,150,
424410,General Line Grocery Merchant Wholesalers,,250,
424420,Packaged Frozen Food Merchant Wholesalers,,200,
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,,200,
424440,Poultry and Poultry Product Merchant Wholesalers,,150,
424450,Confectionery Merchant Wholesalers,,225,
424460,Fish and Seafood Merchant Wholesalers,,100,
424470,Meat and Meat Product Merchant Wholesalers,,150,
424480,Fresh Fruit and Vegetable Merchant Wholesalers,,100,
424490,Other Grocery and Related Products Merchant Wholesalers,,250,
424510,Grain and Field Bean Merchant Wholesalers,,200,
424520,Livestock Merchant Wholesalers,,125,
424590,Other Farm Product Raw Material Merchant Wholesalers,,175,
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,,150,
424690,Other Chemical and Allied Products Merchant Wholesalers,,175,
424710,Petroleum Bulk Stations and Terminals,,225,
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),,200,
424810,Beer and Ale Merchant Wholesalers,,200,
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,,250,
424910,Farm Supplies Merchant Wholesalers,,200,
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",,200,
424930,"Flower, Nursery Stock, and Florists’ Supplies Merchant Wholesalers",,100,
424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers,,250,
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",,150,
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,,100,
Subsector 425 – Wholesale Trade Agents and Brokers,,,,
425120,Wholesale Trade Agents and Brokers,,125,
,Sector 44 - 45 – Retail Trade,,,
,(These NAICS codes shall not be used to classify Government acquisitions for supplies.  They also shall not be used by Federal government contractors when subcontracting for the acquisition for supplies.  The applicable manufacturing NAICS code shall be used to classify acquisitions for supplies.  A Wholesale Trade or Retail Trade business concern submitting an offer or a quote on a supply acquisition is categorized as a nonmanufacturer and deemed small if it has 500 or fewer employees and meets the requirements of 13 CFR 121.406.),,,
Subsector 441 – Motor Vehicle and Parts Dealers,,,,
441110,New Car Dealers,,200,
441120,Used Car Dealers,$30.5,,
441210,Recreational Vehicle Dealers  ,$40.0,,
441222,Boat Dealers,$40.0,,
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",$40.0,,
441330,Automotive Parts and Accessories Retailers,$28.5,,
441340,Tire Dealers,$25.5,,
Subsector 444 – Building Material and Garden Equipment and Supplies Dealers,,,,
444110,Home Centers,$47.0,,
444120,Paint and Wallpaper Retailers,$34.0,,
444140,Hardware Retailers,$16.5,,
444180,Other Building Material Dealers,$25.0,,
444230,Outdoor Power Equipment Retailers,$9.5,,
444240,"Nursery, Garden Center, and Farm Supply Retailers",$21.5,,
Subsector 445 – Food and Beverage Stores,,,,
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),$40.0,,
445131,Convenience Retailers,$36.5,,
445132,Vending Machine Operators,$21.0,,
445230,Fruit and Vegetable Retailers,$9.0,,
445240,Meat Retailers,$9.0,,
445250,Fish and Seafood Retailers,$9.0,,
445291,Baked Goods Retailers,$16.0,,
445292,Confectionery and Nut Retailers,$19.5,,
445298,All Other Specialty Food Retailers,$10.0,,
445320,"Beer, Wine, and Liquor Retailers",$10.0,,
"Subsector 449 - Furniture, Home Furnishings, Electronics, and Appliance Retailers",,,,
449110,Furniture Retailers,$25.0,,
449121,Floor Covering Retailers,$9.0,,
449122,Window Treatment Retailers,$11.5,,
449129,All Other Home Furnishings Retailers,$33.5,,
449210,Electronics and Appliance Retailers,$40.0,,
Subsector 455 – General Merchandise Retailers,,,,
455110,Department Stores,$40.0,,
455211,Warehouse Clubs and Supercenters,$47.0,,
455219,All Other General Merchandise Retailers,$40.0,,
Subsector 456 – Health and Personal Care Retailers,,,,
456110,Pharmacies and Drug Retailers,$37.5,,
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers",$34.0,,
456130,Optical Goods Retailers,$29.5,,
456191,Food (Health) Supplement Retailers,$22.5,,
456199,All Other Health and Personal Care Retailers,$9.5,,
Subsector 457 – Gasoline Stations and Fuel Dealers,,,,
457110,Gasoline Stations with Convenience Stores,$36.5,,
457120,Other Gasoline Stations,$33.5,,
457210,Fuel Dealers,,100,
"Subsector 458 – Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",,,,
458110,Clothing and Clothing Accessories Retailers,$47.0,,
458210,Shoe Retailers,$34.0,,
458310,Jewelry Retailers,$20.5,,
458320,Luggage and Leather Goods Retailers,$38.0,,
"Subsector 459 – Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",,,,
459110,Sporting Goods Retailers,$26.5,,
459120,"Hobby, Toy, and Game Retailers",$35.0,,
459130,"Sewing, Needlework, and Piece Goods Retailers",$34.0,,
459140,Musical Instrument and Supplies Retailers,$22.5,,
459210,Book Retailers and News Dealers,$36.0,,
459310,Florists,$9.0,,
459410,Office Supplies and Stationery Retailers,$40.0,,
459420,"Gift, Novelty, and Souvenir Retailers",$13.5,,
459510,Used Merchandise Retailers,$14.0,,
459910,Pet and Pet Supplies Retailers,$32.0,,
459920,Art Dealers,$16.5,,
459930,Manufactured (Mobile) Home Dealers,$19.0,,
459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers",$11.5,,
459999,All Other Miscellaneous Retailers,$11.5,,
,Sector 48 - 49 – Transportation and Warehousing,,,
Subsector 481 – Air Transportation,,,,
481111,Scheduled Passenger Air Transportation,,"1,500 ",
481112,Scheduled Freight Air Transportation,,"1,500 ",
481211,Nonscheduled Chartered Passenger Air Transportation,,"1,500 ",
481212,Nonscheduled Chartered Freight Air Transportation  ,,"1,500 ",
481219,Other Nonscheduled Air Transportation,$25.0,,
Subsector 482 – Rail Transportation,,,,
482111,Line‑Haul Railroads,,"1,500 ",
482112,Short Line Railroads,,"1,500 ",
Subsector 483 – Water Transportation,,,,
483111,Deep Sea Freight Transportation,,"1,050 ",
483112,Deep Sea Passenger Transportation,,"1,500 ",
483113,Coastal and Great Lakes Freight Transportation,,800 ,
483114,Coastal and Great Lakes Passenger Transportation,,550 ,
483211,Inland Water Freight Transportation,,"1,050 ",
483212,Inland Water Passenger Transportation,,550 ,
Subsector 484 – Truck Transportation,,,,
484110,"General Freight Trucking, Local",$34.0,,
484121,"General Freight Trucking, Long‑Distance, Truckload  ",$34.0,,
484122,"General Freight Trucking, Long‑Distance, Less Than Truckload",$43.0,,
484210,Used Household and Office Goods Moving,$34.0,,
484220,"Specialized Freight (except Used Goods) Trucking, Local",$34.0,,
484230,"Specialized Freight (except Used Goods) Trucking, Long‑Distance",$34.0,,
Subsector 485 – Transit and Ground Passenger Transportation,,,,
485111,Mixed Mode Transit Systems,$29.0,,
485112,Commuter Rail Systems,$47.0,,
485113,Bus and Other Motor Vehicle Transit Systems,$32.5,,
485119,Other Urban Transit Systems,$37.5,,
485210,Interurban and Rural Bus Transportation,$32.0,,
485310,Taxi and Ridesharing Services,$19.0,,
485320,Limousine Service,$19.0,,
485410,School and Employee Bus Transportation,$30.0,,
485510,Charter Bus Industry,$19.0,,
485991,Special Needs Transportation,$19.0,,
485999,All Other Transit and Ground Passenger Transportation,$19.0,,
Subsector 486 – Pipeline Transportation,,,,
486110,Pipeline Transportation of Crude Oil,,"1,500 ",
486210,Pipeline Transportation of Natural Gas,$41.5,,
486910,Pipeline Transportation of Refined Petroleum Products,,"1,500 ",
486990,All Other Pipeline Transportation,$46.0,,
Subsector 487 – Scenic and Sightseeing Transportation,,,,
487110,"Scenic and Sightseeing Transportation, Land",$20.5,,
487210,"Scenic and Sightseeing Transportation, Water",$14.0,,
487990,"Scenic and Sightseeing Transportation, Other",$25.0,,
Subsector 488 – Support Activities for Transportation,,,,
488111,Air Traffic Control,$40.0,,
488119,Other Airport Operations,$40.0,,
488190,Other Support Activities for Air Transportation,$40.0,,
488210,Support Activities for Rail Transportation,$34.0,,
488310,Port and Harbor Operations,$47.0,,
488320,Marine Cargo Handling,$47.0,,
488330,Navigational Services to Shipping,$47.0,,
488390,Other Support Activities for Water Transportation,$47.0,,
488410,Motor Vehicle Towing,$9.0,,
488490,Other Support Activities for Road Transportation,$18.0,,
488510,Freight Transportation Arrangement10,$20.0,,See footnote 10
488510 (Exception),Non‑Vessel Owning Common Carriers and Household Goods Forwarders,$34.0,,
488991,Packing and Crating,$34.0,,
488999,All Other Support Activities for Transportation,$25.0,,
Subsector 491 – Postal Service,,,,
491110,Postal Service,$9.0,,
Subsector 492 – Couriers and Messengers,,,,
492110,Couriers and Express Delivery Services,,"1,500 ",
492210,Local Messengers and Local Delivery,$34.0,,
Subsector 493 – Warehousing and Storage,,,,
493110,General Warehousing and Storage,$34.0,,
493120,Refrigerated Warehousing and Storage,$36.5,,
493130,Farm Product Warehousing and Storage,$34.0,,
493190,Other Warehousing and Storage,$36.5,,
,Sector 51 – Information,,,
Subsector 512 – Motion Picture and Sound Recording Industries,,,,
512110,Motion Picture and Video Production,$40.0,,
512120,Motion Picture and Video Distribution,$39.0,,
512131,Motion Picture Theaters (except Drive‑Ins),$47.0,,
512132,Drive‑In Motion Picture Theaters,$12.5,,
512191,Teleproduction and Other Postproduction Services,$39.0,,
512199,Other Motion Picture and Video Industries,$28.5,,
512230,Music Publishers,,900 ,
512240,Sound Recording Studios,$11.0,,
512250,Record Production and Distribution,,900,
512290,Other Sound Recording Industries,$22.5,,
Subsector 513 – Publishing Industries,,,,
513110,Newspaper Publishers,,"1,000",
513120,Periodical Publishers,,"1,000",
513130,Book Publishers,,"1,000",
513140,Directory and Mailing List Publishers,,"1,000",
513191,Greeting Card Publishers,,"1,000",
513199,All Other Publishers,,"1,000",
513210,Software Publishers15,$47.0,,
Subsector 516 – Broadcasting and Content Providers,,,,
516110,Radio Broadcasting Stations,$47.0,,
516120,Television Broadcasting Stations,$47.0,,
516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",$47.0,,
Subsector 517 – Telecommunications,,,,
517111,Wired Telecommunications Carriers,,"1,500",
517112,Wireless Telecommunications Carriers (except Satellite),,"1,500",
517121,Telecommunications Resellers,,"1,500",
517122,Agents for Wireless Telecommunications Services,,"1,500",
517410,Satellite Telecommunications,$44.0,,
517810,All Other Telecommunications,$40.0,,
"Subsector 518 –Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,,,
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",$40.0,,
"Subsector 519 – Web Search Portals, Libraries, Archives, and Other Information Services",,,,
519210,Libraries and Archives,$21.0,,
519290,Web Search Portals and All Other Information Services,,"1,000",
,Sector 52 – Finance and Insurance,,,
Subsector 522 – Credit Intermediation and Related Activities,,,,
522110,Commercial Banking8,$850 million in assets,,See footnote 8
522130,Credit Unions8,$850 million in assets,,See footnote 8
522180,Savings Institutions and Other Depository Credit Intermediation8,$850 million in assets,,See footnote 8
522210,Credit Card Issuing8,$850 million in assets,,See footnote 8
522220,Sales Financing,$47.0,,
522291,Consumer Lending,$47.0,,
522292,Real Estate Credit,$47.0,,
522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation",$47.0,,
522310,Mortgage and Nonmortgage Loan Brokers,$15.0,,
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",$47.0,,
522390,Other Activities Related to Credit Intermediation,$28.5,,
"Subsector 523 – Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,
523150,Investment Banking and Securities Intermediation,$47.0,,
523160,Commodity Contracts Intermediation,$47.0,,
523210,Securities and Commodity Exchanges,$47.0,,
523910,Miscellaneous Intermediation,$47.0,,
523940,Portfolio Management and Investment Advice,$47.0,,
523991,"Trust, Fiduciary and Custody Activities",$47.0,,
523999,Miscellaneous Financial Investment Activities,$47.0,,
Subsector 524 – Insurance Carriers and Related Activities,,,,
524113,Direct Life Insurance Carriers,$47.0,,
524114,Direct Health and Medical Insurance Carriers,$47.0,,
524126,Direct Property and Casualty Insurance Carriers,,"1,500 ",
524127,Direct Title Insurance Carriers,$47.0,,
524128,"Other Direct Insurance (except Life, Health and Medical) Carriers",$47.0,,
524130,Reinsurance Carriers,$47.0,,
524210,Insurance Agencies and Brokerages,$15.0,,
524291,Claims Adjusting,$25.0,,
524292,Pharmacy Benefit Management and Other Third-Party Administration of Insurance and Pension Funds,$45.5,,
524298,All Other Insurance Related Activities,$30.5,,
"Subsector 525 – Funds, Trusts and Other Financial Vehicles",,,,
525110,Pension Funds,$40.0,,
525120,Health and Welfare Funds,$40.0,,
525190,Other Insurance Funds,$40.0,,
525910,Open‑End Investment Funds,$40.0,,
525920,"Trusts, Estates, and Agency Accounts",$40.0,,
525990,Other Financial Vehicles,$40.0,,
,Sector 53 – Real Estate and Rental and Leasing,,,
Subsector 531 – Real Estate,,,,
531110,Lessors of Residential Buildings and Dwellings9,$34.0,,See footnote 9
531110 (Exception),Leasing of Building Space to the Federal Government by Owners,$47.0,,
531120,Lessors of Nonresidential Buildings (except Miniwarehouses)9,$34.0,,See footnote 9
531120 (Exception),Leasing of Building Space to the Federal Government by Owners,$47.0,,
531130,Lessors of Miniwarehouses and Self Storage Units9,$34.0,,See footnote 9
531130 (Exception),Leasing of Building Space to the Federal Government by Owners,$47.0,,
531190,Lessors of Other Real Estate Property9,$34.0,,See footnote 9
531190 (Exception),Leasing of Building Space to the Federal Government by Owners,$47.0,,
531210,Offices of Real Estate Agents and Brokers10,$15.0,,See footnote 10
531311,Residential Property Managers,$12.5,,
531312,Nonresidential Property Managers,$19.5,,
531320,Offices of Real Estate Appraisers,$9.5,,
531390,Other Activities Related to Real Estate,$19.5,,
Subsector 532 – Rental and Leasing Services,,,,
532111,Passenger Car Rental,$47.0,,
532112,Passenger Car Leasing,$47.0,,
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",$47.0,,
532210,Consumer Electronics and Appliances Rental,$47.0,,
532281,Formal Wear and Costume Rental,$25.0,,
532282,Video Tape and Disc Rental,$35.0,,
532283,Home Health Equipment Rental,$41.0,,
532284,Recreational Goods Rental,$9.0,,
532289,All Other Consumer Goods Rental,$12.5,,
532310,General Rental Centers,$9.0,,
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",$45.5,,
532412,"Construction, Mining and Forestry Machinery and Equipment Rental and Leasing",$40.0,,
532420,Office Machinery and Equipment Rental and Leasing,$40.0,,
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,$40.0,,
Subsector 533 – Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),,,,
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),$47.0,,
,"Sector 54 – Professional, Scientific and Technical Services",,,
"Subsector 541 – Professional, Scientific and Technical Services",,,,
541110,Offices of Lawyers,$15.5,,
541191,Title Abstract and Settlement Offices,$19.5,,
541199,All Other Legal Services,$20.5,,
541211,Offices of Certified Public Accountants,$26.5,,
541213,Tax Preparation Services,$25.0,,
541214,Payroll Services,$39.0,,
541219,Other Accounting Services,$25.0,,
541310,Architectural Services,$12.5,,
541320,Landscape Architectural Services,$9.0,,
541330,Engineering Services,$25.5,,
541330 (Exception 1),Military and Aerospace Equipment and Military Weapons,$47.0,,
541330 (Exception 2),Contracts and Subcontracts for Engineering Services Awarded Under the National Energy Policy Act of 1992,$47.0,,
541330 (Exception 3),Marine Engineering and Naval Architecture,$47.0,,
541340,Drafting Services,$9.0,,
541350,Building Inspection Services,$11.5,,
541360,Geophysical Surveying and Mapping Services,$28.5,,
541370,Surveying and Mapping (except Geophysical) Services,$19.0,,
541380,Testing Laboratories and Services,$19.0,,
541410,Interior Design Services,$9.0,,
541420,Industrial Design Services,$17.0,,
541430,Graphic Design Services,$9.0,,
541490,Other Specialized Design Services,$13.5,,
541511,Custom Computer Programming Services,$34.0,,
541512,Computer Systems Design Services,$34.0,,
541513,Computer Facilities Management Services,$37.0,,
541519,Other Computer Related Services,$34.0,,
541519 (Exception),Information Technology Value Added Resellers18,,150 ,See footnote 18
541611,Administrative Management and General Management Consulting Services,$24.5,,
541612,Human Resources Consulting Services,$29.0,,
541613,Marketing Consulting Services,$19.0,,
541614,"Process, Physical Distribution and Logistics Consulting Services",$20.0,,
541618,Other Management Consulting Services,$19.0,,
541620,Environmental Consulting Services,$19.0,,
541690,Other Scientific and Technical Consulting Services  ,$19.0,,
541713,Research and Development in Nanotechnology11,,"1,000",See footnote 11
541714,Research and Development in Biotechnology (except Nanobiotechnology)11,,"1,000",See footnote 11
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) 11",,"1,000",See footnote 11
541715 (Exception 1),"Aircraft, Aircraft Engine and Engine Parts11",,"1,500",See footnote 11
541715 (Exception 2),Other Aircraft Parts and Auxiliary Equipment11,,"1,250",See footnote 11
541715 (Exception 3),"Guided Missiles and Space Vehicles, Their Propulsion Units and Propulsion Parts11",,"1,300",See footnote 11
541720,Research and Development in the Social Sciences and Humanities,$28.0,,
541810,Advertising Agencies10,$25.5,,See footnote 10
541820,Public Relations Agencies,$19.0,,
541830,Media Buying Agencies,$32.5,,
541840,Media Representatives,$21.0,,
541850,Indoor and Outdoor Display Advertising,$34.5,,
541860,Direct Mail Advertising,$22.0,,
541870,Advertising Material Distribution Services,$28.5,,
541890,Other Services Related to Advertising,$19.0,,
541910,Marketing Research and Public Opinion Polling,$22.5,,
541921,"Photography Studios, Portrait",$16.0,,
541922,Commercial Photography,$9.0,,
541930,Translation and Interpretation Services,$22.5,,
541940,Veterinary Services,$10.0,,
541990,"All Other Professional, Scientific and Technical Services",$19.5,,
,Sector 55 – Management of Companies and Enterprises,,,
Subsector 551 – Management of Companies and Enterprises,,,,
551111,Offices of Bank Holding Companies,$38.5,,
551112,Offices of Other Holding Companies,$45.5,,
,Sector 56 – Administrative and Support and Waste Management and Remediation Services,,,
Subsector 561 – Administrative and Support Services,,,,
561110,Office Administrative Services,$12.5,,
561210,Facilities Support Services12,$47.0,,See footnote 12
561311,Employment Placement Agencies,$34.0,,
561312,Executive Search Services,$34.0,,
561320,Temporary Help Services,$34.0,,
561330,Professional Employer Organizations,$41.5,,
561410,Document Preparation Services,$19.0,,
561421,Telephone Answering Services,$19.0,,
561422,Telemarketing Bureaus and Other contact Centers,$25.5,,
561431,Private Mail Centers,$19.0,,
561439,Other Business Service Centers (including Copy Shops),$26.5,,
561440,Collection Agencies,$19.5,,
561450,Credit Bureaus,$41.0,,
561491,Repossession Services,$19.0,,
561492,Court Reporting and Stenotype Services,$19.0,,
561499,All Other Business Support Services,$21.5,,
561510,Travel Agencies10,$25.0,,See footnote 10
561520,Tour Operators10,$25.0,,See footnote 10
561591,Convention and Visitors Bureaus,$25.0,,
561599,All Other Travel Arrangement and Reservation Services,$32.5,,
561611,Investigation and Personal Background Check Services,$25.0,,
561612,Security Guards and Patrol Services,$29.0,,
561613,Armored Car Services,$43.0,,
561621,Security Systems Services (except Locksmiths),$25.0,,
561622,Locksmiths,$25.0,,
561710,Exterminating and Pest Control Services,$17.5,,
561720,Janitorial Services,$22.0,,
561730,Landscaping Services,$9.5,,
561740,Carpet and Upholstery Cleaning Services,$8.5,,
561790,Other Services to Buildings and Dwellings  ,$9.0,,
561910,Packaging and Labeling Services,$19.5,,
561920,Convention and Trade Show Organizers10,$20.0,,See footnote 10
561990,All Other Support Services,$16.5,,
Subsector 562 – Waste Management and Remediation Services,,,,
562111,Solid Waste Collection,$47.0,,
562112,Hazardous Waste Collection,$47.0,,
562119,Other Waste Collection,$47.0,,
562211,Hazardous Waste Treatment and Disposal,$47.0,,
562212,Solid Waste Landfill,$47.0,,
562213,Solid Waste Combustors and Incinerators,$47.0,,
562219,Other Nonhazardous Waste Treatment and Disposal  ,$47.0,,
562910,Remediation Services,$25.0,,
562910 (Exception),Environmental Remediation Services14,,"1,000 ",See footnote 14
562920,Materials Recovery Facilities,$25.0,,
562991,Septic Tank and Related Services,$9.0,,
562998,All Other Miscellaneous Waste Management Services,$16.5,,
,Sector 61 – Educational Services,,,
Subsector 611 – Educational Services,,,,
611110,Elementary and Secondary Schools,$20.0,,
611210,Junior Colleges,$32.5,,
611310,"Colleges, Universities and Professional Schools",$34.5,,
611410,Business and Secretarial Schools,$20.5,,
611420,Computer Training,$16.0,,
611430,Professional and Management Development Training,$15.0,,
611511,Cosmetology and Barber Schools,$13.0,,
611512,Flight Training,$34.0,,
611513,Apprenticeship Training,$11.5,,
611519,Other Technical and Trade Schools,$21.0,,
611519 (Exception),Job Corps Centers16,$47.0,,See footnote 16
611610,Fine Arts Schools,$9.0,,
611620,Sports and Recreation Instruction,$9.0,,
611630,Language Schools,$20.5,,
611691,Exam Preparation and Tutoring,$12.5,,
611692,Automobile Driving Schools,$10.0,,
611699,All Other Miscellaneous Schools and Instruction,$16.5,,
611710,Educational Support Services,$24.0,,
,Sector 62 – Health Care and Social Assistance,,,
Subsector 621 – Ambulatory Health Care Services,,,,
621111,Offices of Physicians (except Mental Health Specialists),$16.0,,
621112,"Offices of Physicians, Mental Health Specialists",$13.5,,
621210,Offices of Dentists,$9.0,,
621310,Offices of Chiropractors,$9.0,,
621320,Offices of Optometrists,$9.0,,
621330,Offices of Mental Health Practitioners (except Physicians),$9.0,,
621340,"Offices of Physical, Occupational and Speech Therapists and Audiologists",$12.5,,
621391,Offices of Podiatrists,$9.0,,
621399,Offices of All Other Miscellaneous Health Practitioners,$10.0,,
621410,Family Planning Centers,$19.0,,
621420,Outpatient Mental Health and Substance Abuse Centers,$19.0,,
621491,HMO Medical Centers,$44.5,,
621492,Kidney Dialysis Centers,$47.0,,
621493,Freestanding Ambulatory Surgical and Emergency Centers,$19.0,,
621498,All Other Outpatient Care Centers,$25.5,,
621511,Medical Laboratories,$41.5,,
621512,Diagnostic Imaging Centers,$19.0,,
621610,Home Health Care Services,$19.0,,
621910,Ambulance Services,$22.5,,
621991,Blood and Organ Banks,$40.0,,
621999,All Other Miscellaneous Ambulatory Health Care Services,$20.5,,
Subsector 622 – Hospitals,,,,
622110,General Medical and Surgical Hospitals,$47.0,,
622210,Psychiatric and Substance Abuse Hospitals,$47.0,,
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,$47.0,,
Subsector 623 – Nursing and Residential Care Facilities,,,,
623110,Nursing Care Facilities (Skilled Nursing Facilities),$34.0,,
623210,Residential Intellectual and Developmental Disability Facilities,$19.0,,
623220,Residential Mental Health and Substance Abuse Facilities,$19.0,,
623311,Continuing Care Retirement Communities,$34.0,,
623312,Assisted Living Facilities for the Elderly,$23.5,,
623990,Other Residential Care Facilities,$16.0,,
Subsector 624 – Social Assistance,,,,
624110,Child and Youth Services,$15.5,,
624120,Services for the Elderly and Persons with Disabilities,$15.0,,
624190,Other Individual and Family Services,$16.0,,
624210,Community Food Services,$19.5,,
624221,Temporary Shelters,$13.5,,
624229,Other Community Housing Services,$19.0,,
624230,Emergency and Other Relief Services,$41.5,,
624310,Vocational Rehabilitation Services,$15.0,,
624410,Child Care Services,$9.5,,
